Participant_ID,User Valence,User Arousal,Video Type,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_VHF,peak_number,peak_amplitude,signal_power,med_abs_dev,band_power,rms,Label_1
P10,3.0,7.0,CP4,870.0393215554292,1494.0,791.137754988612,892.7256377675536,0.5295433433658715,0.582355636917958,1340.0,859.9079999999999,0.6417223880597014,1050.0,90.0,90.0,0.0,10.0,0.0015479935462942,3.0,1.0926986922119446e-05,0.0018219885089005,0.0107577456,1.2511144193642425e-05,0.3933563225262754,1
P10,3.0,7.0,CP4,1320.6059215375342,1470.4761904761904,909.9366801622856,1354.8882261143012,0.6188040894886011,0.898080451822805,1280.0,770.952,0.60230625,920.0,95.23809523809524,95.23809523809524,0.0,10.5,0.0001548356668558,3.0,1.0926986922119446e-05,0.0018219885089005,0.0107577456,1.2511144193642425e-05,0.3933563225262754,1
P10,3.0,7.0,CP4,1530.9082271645157,1365.7142857142858,1065.7793928790863,1570.4159690316046,0.7803824006436825,1.1209579069196245,1080.0,770.952,0.7138444444444444,1000.0,90.47619047619048,90.47619047619048,78.125,10.5,0.0006048022363009,3.0,1.0926986922119446e-05,0.0018219885089005,0.0107577456,1.2511144193642425e-05,0.3933563225262754,1
P10,3.0,7.0,CP4,989.8025514763492,1320.0,622.1370793117426,1013.0524787370714,0.4713159691755625,0.7498504177851131,1000.0,474.432,0.4744319999999999,720.0,91.30434782608695,91.30434782608695,320.3125,7.666666666666667,0.004822154354152,3.0,1.0926986922119446e-05,0.0018219885089005,0.0107577456,1.2511144193642425e-05,0.3933563225262754,1
P10,3.0,7.0,CP4,1266.584104636422,1680.0,1037.9164649601114,1292.830911103955,0.6178074196191139,0.7539191099026322,1220.0,563.3879999999999,0.4617934426229507,1000.0,83.33333333333334,94.44444444444444,718.75,9.0,0.0005714852769595,3.0,1.0926986922119446e-05,0.0018219885089005,0.0107577456,1.2511144193642425e-05,0.3933563225262754,1
P10,3.0,7.0,CP4,1371.1309200802089,1520.0,977.9690840776944,1403.9565939326824,0.6434007132090095,0.9020598158422428,1400.0,830.256,0.59304,930.0,94.44444444444444,94.44444444444444,476.5625,9.0,0.0016380172478374,3.0,1.0926986922119446e-05,0.0018219885089005,0.0107577456,1.2511144193642425e-05,0.3933563225262754,1
P10,3.0,7.0,CP4,926.4049260212954,1270.0,609.4045561394157,946.4892483452736,0.4798461071963903,0.7294526976545633,1100.0,563.3879999999999,0.512170909090909,740.0,91.66666666666666,95.83333333333334,1078.125,6.0,0.0310248102497239,3.0,1.0926986922119446e-05,0.0018219885089005,0.0107577456,1.2511144193642425e-05,0.3933563225262754,1
P10,4.0,7.0,EN3,1062.6113387042587,1792.0,830.7242967091171,1091.0384205722708,0.4635738262885698,0.5929750774019301,1600.0,533.736,0.333585,960.0,86.66666666666667,93.33333333333331,0.0,7.5,0.0007204483846216,8.0,1.3262675028987775e-06,4.718902986461591e-05,0.0083188686,6.031470534713086e-06,0.2974378036175431,4
P10,4.0,7.0,EN3,1159.74135047432,1774.1176470588234,949.835899139487,1178.9147551880076,0.5353849564115146,0.653700363331016,1480.0,889.56,0.601054054054054,1040.0,94.11764705882352,94.11764705882352,242.1875,8.5,0.0003241867269261,8.0,1.3262675028987775e-06,4.718902986461591e-05,0.0083188686,6.031470534713086e-06,0.2974378036175431,4
P10,4.0,7.0,EN3,2022.8540386143688,1968.571428571429,1390.2675843318636,2105.392344214475,0.7062317191816433,1.027574620486254,1580.0,1037.82,0.6568481012658227,1200.0,92.85714285714286,92.85714285714286,242.1875,7.0,0.0001186679951135,8.0,1.3262675028987775e-06,4.718902986461591e-05,0.0083188686,6.031470534713086e-06,0.2974378036175431,4
P10,4.0,7.0,EN3,2098.0535196768865,1904.0,1544.6719485286928,2154.4495230227017,0.8112772838911202,1.101918865376516,1240.0,889.56,0.7173870967741935,1780.0,86.66666666666667,93.33333333333331,0.0,15.0,0.0015891238590589,8.0,1.3262675028987775e-06,4.718902986461591e-05,0.0083188686,6.031470534713086e-06,0.2974378036175431,4
P10,4.0,7.0,EN3,1853.0515373297096,1788.235294117647,1231.9711608542104,1910.748544419176,0.6889312412671571,1.0362459254804297,1480.0,1126.7759999999998,0.7613351351351351,1200.0,82.35294117647058,88.23529411764706,0.0,8.5,0.0002264239054211,8.0,1.3262675028987775e-06,4.718902986461591e-05,0.0083188686,6.031470534713086e-06,0.2974378036175431,4
P10,4.0,7.0,EN3,1128.0537501191577,1304.0,741.3671581327936,1158.9630372179377,0.5685330967276024,0.8650718942631576,1120.0,711.6479999999999,0.6354,970.0,95.0,95.0,78.125,10.0,0.0080121724057068,8.0,1.3262675028987775e-06,4.718902986461591e-05,0.0083188686,6.031470534713086e-06,0.2974378036175431,4
P10,4.0,7.0,EN3,1341.7035518521338,1378.0,900.5705793667993,1378.087495843,0.6535345278423798,0.9736600521423322,1260.0,919.212,0.7295333333333334,1200.0,80.0,85.0,78.125,10.0,0.0051140101499216,8.0,1.3262675028987775e-06,4.718902986461591e-05,0.0083188686,6.031470534713086e-06,0.2974378036175431,4
P10,6.0,3.0,EP1,1202.2723582988224,1597.7777777777778,984.1541937746256,1219.8987421816903,0.6159518598033121,0.7524653146515577,1360.0,830.256,0.6104823529411765,1010.0,83.33333333333334,88.88888888888889,242.1875,9.0,0.0055349534152838,5.0,1.025117285930173e-05,0.0008452311312676,0.013469421,2.169043234195808e-05,0.3157033429480718,3
P10,6.0,3.0,EP1,1732.260740398879,1953.3333333333333,1767.9023694420423,1781.0885333515469,0.905069472410602,0.8868229046410644,1220.0,770.952,0.631927868852459,1390.0,75.0,83.33333333333334,320.3125,4.0,0.0012916482074475,5.0,1.025117285930173e-05,0.0008452311312676,0.013469421,2.169043234195808e-05,0.3157033429480718,3
P10,6.0,3.0,EP1,2524.498149948007,2143.333333333333,1584.6039558734217,2646.922054696051,0.7393175532846445,1.17783739499907,1240.0,533.736,0.4304322580645161,2180.0,83.33333333333334,83.33333333333334,156.25,6.0,0.0002032343014,5.0,1.025117285930173e-05,0.0008452311312676,0.013469421,2.169043234195808e-05,0.3157033429480718,3
P10,6.0,3.0,EP1,2279.1226382097125,1846.1538461538464,1758.548352389637,2380.303011014023,0.9525470242110536,1.2345247623635942,1320.0,770.952,0.5840545454545455,1240.0,84.61538461538461,92.3076923076923,0.0,13.0,2.9177542538863023e-05,5.0,1.025117285930173e-05,0.0008452311312676,0.013469421,2.169043234195808e-05,0.3157033429480718,3
